window_name,window_numeric_id,step,avgR,stdR,expR,objC,objA,rec_path
ddpg_window_3112,3112,20992.0,-2.6174020767211914,0.0,-0.04349237307906151,0.30070397672534455,-2.472441360121593,checkpoints\ddpg_window_3112\recorder.npy
ddpg_window_3132,3132,20992.0,-7.155750751495361,0.0,-0.07073274254798889,0.332651789940428,-4.444132185075432,checkpoints\ddpg_window_3132\recorder.npy
ddpg_window_3152,3152,20992.0,-13.2460355758667,0.0,-0.09273012727499008,0.449066704211873,-4.760163060389459,checkpoints\ddpg_window_3152\recorder.npy
ddpg_window_3172,3172,20992.0,-13.562838554382324,1.1680077705022995e-06,-0.09756138920783997,0.42813754301459994,-7.049157324247062,checkpoints\ddpg_window_3172\recorder.npy
ddpg_window_3192,3192,20992.0,-7.577703952789307,5.840038852511498e-07,-0.061569564044475555,0.40094227393274195,-5.324899482540786,checkpoints\ddpg_window_3192\recorder.npy
ddpg_window_3212,3212,20992.0,-7.495720386505127,0.0,-0.06049354001879692,0.4511977535294136,-5.239904826041311,checkpoints\ddpg_window_3212\recorder.npy
ddpg_window_3232,3232,20992.0,-11.80423355102539,0.0,-0.09764616936445236,0.41723961516981944,-6.350471891462803,checkpoints\ddpg_window_3232\recorder.npy
ddpg_window_3252,3252,20992.0,-14.357098579406738,1.1680077705022995e-06,-0.07917103171348572,0.41846778489707503,-5.543141460977495,checkpoints\ddpg_window_3252\recorder.npy
ddpg_window_3272,3272,20992.0,-10.33154010772705,0.0,-0.09472911804914474,0.46224812931905035,-3.9908064007759094,checkpoints\ddpg_window_3272\recorder.npy
ddpg_window_3292,3292,20992.0,-13.56224536895752,0.0,-0.08645927906036377,0.37335639374214225,-3.7107198634184897,checkpoints\ddpg_window_3292\recorder.npy
ddpg_window_3312,3312,20992.0,-6.721724033355713,5.840038852511498e-07,-0.0647725909948349,0.4605327321041841,-3.567967599024996,checkpoints\ddpg_window_3312\recorder.npy
ddpg_window_3332,3332,20992.0,-4.3667497634887695,0.0,-0.0504060834646225,0.38455298385815695,-5.281954063568264,checkpoints\ddpg_window_3332\recorder.npy
ddpg_window_3352,3352,20992.0,-7.895249843597412,0.0,-0.07689426094293594,0.39107367298856843,-3.9321615300141275,checkpoints\ddpg_window_3352\recorder.npy
ddpg_window_3372,3372,20992.0,2.4646408557891846,0.0,-0.036663785576820374,0.41477820360159967,-3.6531911604106426,checkpoints\ddpg_window_3372\recorder.npy
ddpg_window_3392,3392,20992.0,-0.09694661945104599,0.0,-0.03611569479107857,0.4578114811156411,-4.966912942938507,checkpoints\ddpg_window_3392\recorder.npy
ddpg_window_3412,3412,20992.0,5.77271032333374,0.0,-0.014536738395690918,0.39463434263598174,-3.049579316051677,checkpoints\ddpg_window_3412\recorder.npy
ddpg_window_3432,3432,20992.0,13.025860786437988,1.1680077705022995e-06,0.002700846642255783,0.3875966426276136,-0.46727753002778627,checkpoints\ddpg_window_3432\recorder.npy
ddpg_window_3452,3452,20992.0,-0.44879433512687683,0.0,-0.034854911267757416,0.389646163690486,-4.164477967657149,checkpoints\ddpg_window_3452\recorder.npy
ddpg_window_3472,3472,20992.0,12.408181190490723,0.0,0.008542578667402267,0.4253740034328075,-0.9511621630226728,checkpoints\ddpg_window_3472\recorder.npy
ddpg_window_3492,3492,20992.0,9.185308456420898,0.0,-0.013228630647063255,0.39083355898037553,-3.5454989168792963,checkpoints\ddpg_window_3492\recorder.npy
