strategy,cumulative_return,annualized_sharpe,max_drawdown
DDPG (rolling compounded),1.277693958109038,0.47683670517417986,-0.37618384850969266
DJI (rolling compounded),1.5156834800067038,0.5188748947757771,-0.3504310458121249
DJI (continuous),2.09367575506581,0.6014369853592679,-0.37086171369594334
EqualWeight (rolling compounded),2.4551251537249827,0.6757956407892393,-0.31458743239113895
