date,account_value,window_id,compounded_account_value
2011-02-01,1000000.0,0,1000000.0
2011-02-02,1000101.5887142182,0,1000101.5887142181
2011-02-03,1000190.4730599404,0,1000190.4730599405
2011-02-04,1000999.5982294084,0,1000999.5982294084
2011-02-07,1003372.704023552,0,1003372.704023552
2011-02-08,1007686.4225777624,0,1007686.4225777624
2011-02-09,1005261.9854476928,0,1005261.9854476927
2011-02-10,1003324.9682188987,0,1003324.9682188987
2011-02-11,1008828.3843323364,0,1008828.3843323365
2011-02-14,1009015.9465653076,0,1009015.9465653074
2011-02-15,1007052.0036560668,0,1007052.0036560668
2011-02-16,1011023.542577423,0,1011023.542577423
2011-02-17,1010805.5921646728,0,1010805.5921646728
2011-02-18,1018044.4042832032,0,1018044.4042832031
2011-02-22,999563.2029854432,0,999563.2029854432
2011-02-23,992944.422303833,0,992944.422303833
2011-02-24,993334.8775765076,0,993334.8775765076
2011-02-25,1001624.630532898,0,1001624.630532898
2011-02-28,1004005.6271568908,0,1004005.6271568909
2011-03-01,989542.2886368408,0,989542.2886368408
2011-03-02,1000000.0,1,989542.2886368408
2011-03-03,1002077.5306678776,1,991598.0930886457
2011-03-04,999894.9624122625,1,989438.3495018781
2011-03-07,996575.1589176182,1,986153.2635539632
2011-03-08,1001448.2996322634,1,990975.4423695825
2011-03-09,1002781.5707987788,1,992294.7705710698
2011-03-10,990244.2973997118,1,979888.6083584912
2011-03-11,995223.652476311,1,984815.8907769246
2011-03-14,990169.2305443768,1,979814.3265306622
2011-03-15,980585.4252122232,1,970330.745868433
2011-03-16,960855.617698788,1,950807.2669872239
2011-03-17,971570.1224593624,1,961409.7225496131
2011-03-18,980433.72668475,1,970180.6337603744
2011-03-21,992714.4898297504,1,982332.968229085
2011-03-22,991660.3692592852,1,981289.8713472877
2011-03-23,994540.1555632212,1,984139.5416772695
2011-03-24,1002479.430127538,1,991995.78959976
2011-03-25,1002976.489854218,1,992487.6512192879
2011-03-28,999986.1923737224,2,992487.6512192879
2011-03-29,1008445.7922629828,2,1000883.8155747346
2011-03-30,1000000.0,3,1000883.8155747346
2011-03-31,999540.4933355332,3,1000423.902791121
2011-04-01,1000374.4505610468,3,1001258.5970810192
2011-04-04,1000448.8797015194,3,1001333.0920031253
2011-04-05,999915.287926865,4,1001333.0920031253
2011-04-06,1002728.810660935,4,1004150.6040991434
2011-04-07,1002943.9984298708,4,1004366.0969880226
2011-04-08,1000274.7394690516,4,1001693.0532203492
2011-04-11,1001058.1850630764,4,1002477.6096808346
2011-04-12,994718.3289016164,4,996128.7640839523
2011-04-13,994555.4809354224,4,995965.6852116873
2011-04-14,990849.7247336784,4,992254.674528577
2011-04-15,995617.949674932,4,997029.6604513257
2011-04-18,986488.8770564474,4,987887.6434999288
2011-04-19,985322.4741603254,4,986719.5867329232
2011-04-20,998697.9680978176,4,1000114.0461068434
2011-04-21,1003734.431725633,4,1005157.6510582765
2011-04-25,1002086.79580034,4,1003507.6789101464
2011-04-26,1009633.6353761076,4,1011065.2193323182
2011-04-27,1016190.2075368284,4,1017631.0882153192
2011-04-28,1000000.0,5,1017631.0882153192
2011-04-29,1000158.5810379982,5,1017792.4652095877
2011-05-02,1000415.0520130156,5,1018053.4580469901
2011-05-03,1000552.8868107798,5,1018193.723022233
2011-05-04,997964.84101944,5,1015560.0471672406
2011-05-05,992867.7248101236,5,1010373.0632523941
2011-05-06,995169.708352852,5,1012715.6332700347
2011-05-09,996522.7074369432,5,1014092.4872003327
2011-05-10,1002119.752881241,5,1019788.2146466041
2011-05-11,992076.589458216,5,1009567.9793233068
2011-05-12,993380.5275950606,5,1010894.9073084695
2011-05-13,986620.4010067008,5,1004015.5923318835
2011-05-16,980887.4208263628,5,998181.5334722494
2011-05-17,981472.1875309222,5,998776.6102501623
2011-05-18,987736.6813568348,5,1005151.5539193437
2011-05-19,989863.8253006212,5,1007316.2017256498
2011-05-20,981632.8722252124,5,998940.1279904724
2011-05-23,974245.519457268,5,991422.5281541984
2011-05-24,973028.3855537646,5,990183.9348554728
2011-05-25,975203.6824936144,5,992397.5846475634
2011-05-26,1000000.0,6,992397.5846475634
2011-05-27,1000513.1764891626,6,992906.8597559063
2011-05-31,1003393.6238683704,6,995765.4087777366
2011-06-01,993109.5979491238,6,985559.5662950232
2011-06-02,992103.8796459202,6,984561.4938800882
2011-06-03,987239.9858253484,6,979734.5774005705
2011-06-06,982389.4776082044,6,974920.9447615636
2011-06-07,979933.7965292934,6,972483.9327901875
2011-06-08,975741.0814518436,6,968323.092474211
2011-06-09,983923.9662862192,6,976443.7676192945
2011-06-10,972062.527198814,6,964672.5041185094
2011-06-13,973193.486109672,6,965794.8650099806
2011-06-14,982802.726344764,6,975331.051809584
2011-06-15,968274.9835106976,6,960913.7549106756
2011-06-16,972910.6854932932,6,965514.2143613494
2011-06-17,976645.0668017076,6,969220.2053519728
2011-06-20,980659.5893305544,6,973204.2078131136
2011-06-21,990582.7788904908,6,983051.9571643943
2011-06-22,983017.724229524,6,975544.4151911242
2011-06-23,978396.4682228836,6,970958.2918920962
2011-06-24,1000000.0,7,970958.2918920962
2011-06-27,1001017.8342983244,7,971946.5665438265
2011-06-28,1003653.8957788468,7,974506.072296277
2011-06-29,1006211.56292057,7,976989.4604154332
2011-06-30,1011410.139292526,7,982037.061249818
2011-07-01,1021279.509526634,7,991619.8081143784
2011-07-05,1019871.7733804702,7,990252.9550304645
2011-07-06,1023763.5145107268,7,994031.6733507846
2011-07-07,1031274.2339736022,7,1001324.2686913386
