strategy,cumulative_return,annualized_sharpe,max_drawdown,avg_turnover_per_step,total_trade_cost
D3QN,0.0,0.0,0.0,0.0,0.0
BuyHold,0.015492619002844155,21.149451184720043,-0.015403711682566268,,
Cash,0.0,0.0,0.0,,
"SMA(10,30)-Timing",-0.8880716312599266,-931.8112009779609,-0.8880716312599266,0.030072479999999995,91790.95545496185
ConstantMix50,0.007072745128979818,19.294483234878495,-0.007747779470517857,1.9093825985239503e-05,143.52170923322998
VolScaledMomentum,-0.9864900361897763,-2073.624787123055,-0.9864900361897763,0.05829236852040814,100442.19040884188
