strategy,cumulative_return,annualized_sharpe,max_drawdown,annualized_sortino,romad,omega,win_loss_ratio,avg_turnover_per_step,total_trade_cost
D3QN,-0.001461634070511253,-249.90132934252148,-0.003489219430441448,-224.13050888469252,-0.4189000146449174,0.8086601623456668,0.5684210526315789,0.010958916991401847,15.984105601001648
BuyHold,-0.0011854751946557274,-200.17896578007162,-0.003449335705043244,-176.17920627824319,-0.3436821742002248,0.842607672625017,0.6585365853658537,,
Cash(Always),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"SMA(10,30)-Timing",0.002015741578878183,575.3656947818022,-0.0005615704774362129,441.262858257713,3.5894721319411684,2.397627845594518,1.1904761904761905,0.01643819178082192,24.02543034829432
ConstantMix50,-0.0005926738703661005,-200.22590446175383,-0.001726076382440489,-189.14509483670574,-0.3433647991452861,0.8425738798095709,0.46551724137931033,0.0013793897981417588,2.0138373731104884
VolScaledMomentum,0.0017199449613416462,549.1591148241731,-0.0003081478232556112,568.2238628862295,5.581558043053049,2.4048296521294024,0.4107142857142857,0.026670169740558834,38.98264178808746
