date,close,account_value,action,turnover,trade_cost,selected_checkpoint,warm_start_from,agent_family,_single_window,buy_hold,cash,sma_timing,sma_turnover,sma_trade_cost,constant_mix_50,cmix_turnover,cmix_trade_cost,vol_mom,vol_mom_turnover,vol_mom_trade_cost,d3qn_compounded,buy_hold_compounded,cash_compounded,sma_timing_compounded,constant_mix_50_compounded,vol_mom_compounded
2021-04-17 00:31:58.281751+00:00,61443.715,100000.0,-1,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.0000599984,0.5,1.9999400015949504,100000.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2021-04-17 00:31:59.281751+00:00,61443.715,99996.00011999682,4,1.0,3.999880003175349,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.0000200008,9.99989999997497e-06,3.99976000997615e-05,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600016,100000.0
2021-04-17 00:32:00.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,1.999919894173e-10,7.999279605509335e-10,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
2021-04-17 00:32:01.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,4.074617755482905e-15,1.6297656124410215e-14,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
2021-04-17 00:32:02.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,7.2761031347909e-17,2.910412150082679e-16,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
2021-04-17 00:32:03.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,0.0,0.0,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
2021-04-17 00:32:04.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,0.0,0.0,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
2021-04-17 00:32:05.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,0.0,0.0,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
2021-04-17 00:32:06.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,0.0,0.0,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
2021-04-17 00:32:07.281751+00:00,61443.715,99996.00011999682,4,0.0,0.0,./checkpoints/d3qn_crypto_runs\train_run\actor__000000241152_-0007.649.pt,,d3qn,0,99996.00011999681,100000.0,100000.0,0.0,0.0,99998.00002,0.0,0.0,100000.0,0.0,0.0,99996.00011999682,100000.0,100000.0,100000.0,99999.9999600008,100000.0
